seconds,t_motor,t_ambient,t_predicted,residual
1.59,22.875,19.0,22.88,-0.004
5.69,22.875,19.0,22.89,-0.015
9.78,22.812,19.0,22.9,-0.088
13.88,22.812,19.0,22.91,-0.098
17.97,22.812,19.0,22.92,-0.109
22.07,22.875,19.0,22.93,-0.056
26.17,22.812,19.0,22.94,-0.13
30.26,22.812,19.0,22.95,-0.14
34.36,22.75,19.0,22.96,-0.212
38.45,22.75,19.0,22.97,-0.222
42.55,22.75,19.0,22.98,-0.233
46.65,22.75,19.0,22.99,-0.243
50.74,22.75,19.0,23.0,-0.253
54.84,22.812,19.0,23.01,-0.201
58.93,22.75,19.0,23.02,-0.273
63.03,22.812,19.0,23.03,-0.221
67.13,22.75,19.0,23.04,-0.293
71.22,22.75,19.0,23.05,-0.303
75.32,22.75,19.0,23.06,-0.313
79.41,22.75,19.0,23.07,-0.323
83.51,22.812,19.0,23.08,-0.271
87.61,22.812,19.0,23.09,-0.281
91.7,22.812,19.0,23.1,-0.291
95.8,22.812,19.0,23.11,-0.301
99.89,22.812,19.0,23.12,-0.311
103.99,22.812,19.0,23.13,-0.32
108.09,22.812,19.0,23.14,-0.33
112.18,22.812,19.0,23.15,-0.34
116.28,22.812,19.0,23.16,-0.35
120.37,22.812,19.0,23.17,-0.359
124.47,22.812,19.0,23.18,-0.369
128.57,22.812,19.0,23.19,-0.378
132.66,22.875,19.0,23.2,-0.325
136.76,22.875,19.0,23.21,-0.335
140.85,22.875,19.0,23.22,-0.344
144.95,22.875,19.0,23.23,-0.354
149.05,22.937,19.0,23.24,-0.301
153.14,22.937,19.0,23.25,-0.311
157.24,22.937,19.0,23.26,-0.32
161.33,22.937,19.0,23.27,-0.329
165.43,22.937,19.0,23.28,-0.339
169.53,22.937,19.0,23.29,-0.348
173.62,22.937,19.0,23.29,-0.357
177.72,23.0,19.0,23.3,-0.304
181.81,23.0,19.0,23.31,-0.313
185.91,23.0,19.0,23.32,-0.322
190.01,23.0,19.0,23.33,-0.331
194.1,23.062,19.0,23.34,-0.279
198.2,23.0,19.0,23.35,-0.35
202.29,23.062,18.937,23.36,-0.297
206.39,23.062,19.0,23.37,-0.306
210.49,23.062,19.0,23.38,-0.315
214.58,23.125,19.0,23.39,-0.261
218.68,23.125,19.0,23.39,-0.27
222.77,23.125,19.0,23.4,-0.279
226.87,23.125,19.0,23.41,-0.288
230.97,23.125,18.937,23.42,-0.297
235.06,23.125,19.0,23.43,-0.306
239.16,23.187,19.0,23.44,-0.253
243.25,23.187,19.0,23.45,-0.261
247.35,23.25,19.0,23.46,-0.207
251.45,23.187,18.937,23.47,-0.279
255.54,23.187,19.0,23.47,-0.288
259.64,23.25,18.937,23.48,-0.233
263.73,23.25,19.0,23.49,-0.242
267.83,23.25,18.937,23.5,-0.251
271.93,23.312,18.937,23.51,-0.197
276.02,23.312,18.937,23.52,-0.206
280.12,23.312,18.937,23.53,-0.214
284.21,23.312,18.937,23.53,-0.222
288.31,23.375,18.937,23.54,-0.168
292.41,23.375,18.937,23.55,-0.176
296.5,23.375,19.0,23.56,-0.185
300.6,23.375,18.937,23.57,-0.193
304.69,23.375,18.937,23.58,-0.201
308.79,23.375,19.0,23.58,-0.21
312.89,23.437,19.0,23.59,-0.156
316.98,23.437,19.0,23.6,-0.165
321.08,23.5,18.937,23.61,-0.11
325.17,23.437,18.937,23.62,-0.181
329.27,23.5,18.937,23.63,-0.126
333.37,23.5,19.0,23.63,-0.135
337.46,23.5,18.937,23.64,-0.143
341.56,23.5,18.937,23.65,-0.151
345.65,23.562,18.937,23.66,-0.097
349.75,23.562,18.937,23.67,-0.105
353.85,23.562,18.937,23.68,-0.113
357.94,23.625,18.937,23.68,-0.058
362.04,23.625,18.937,23.69,-0.066
366.13,23.625,18.937,23.7,-0.074
370.23,23.687,18.937,23.71,-0.02
374.33,23.625,18.937,23.72,-0.09
378.42,23.687,18.937,23.72,-0.036
382.52,23.687,18.937,23.73,-0.044
386.61,23.687,19.0,23.74,-0.052
390.71,23.687,18.937,23.75,-0.06
394.81,23.75,18.937,23.75,-0.004
398.9,23.75,18.937,23.76,-0.012
403.0,23.75,18.937,23.77,-0.02
407.09,23.75,18.937,23.78,-0.028
411.19,23.812,18.937,23.79,0.027
415.29,23.75,18.937,23.79,-0.043
419.38,23.75,19.0,23.8,-0.051
423.48,23.812,18.937,23.81,0.003
427.57,23.812,18.937,23.82,-0.004
431.67,23.812,18.937,23.82,-0.012
435.77,23.812,19.0,23.83,-0.02
439.86,23.875,18.937,23.84,0.036
443.96,23.875,18.937,23.85,0.028
448.05,23.875,18.937,23.85,0.021
452.15,23.937,19.0,23.86,0.075
456.25,23.875,19.0,23.87,0.005
460.34,23.937,19.0,23.88,0.06
464.44,23.937,18.937,23.88,0.052
468.53,24.0,19.0,23.89,0.108
472.63,24.0,18.937,23.9,0.1
476.73,24.0,19.0,23.91,0.093
480.82,24.0,19.0,23.91,0.085
484.92,24.0,18.937,23.92,0.078
489.01,24.0,18.937,23.93,0.071
493.11,24.062,18.937,23.94,0.125
497.21,24.0,18.937,23.94,0.056
501.3,24.062,19.0,23.95,0.111
505.4,24.062,18.937,23.96,0.103
509.49,24.062,18.937,23.97,0.096
513.59,24.062,18.937,23.97,0.089
517.69,24.125,18.937,23.98,0.145
521.78,24.125,18.937,23.99,0.138
525.88,24.125,19.0,23.99,0.131
529.97,24.125,18.937,24.0,0.123
534.07,24.187,18.937,24.01,0.178
538.17,24.125,18.937,24.02,0.109
542.26,24.187,19.0,24.02,0.164
546.36,24.187,18.937,24.03,0.157
550.45,24.187,19.0,24.04,0.15
554.55,24.187,19.0,24.04,0.143
558.65,24.187,19.0,24.05,0.136
562.74,24.25,18.937,24.06,0.192
566.84,24.25,19.0,24.07,0.185
570.93,24.25,19.0,24.07,0.178
575.03,24.25,18.937,24.08,0.171
579.13,24.25,19.0,24.09,0.164
583.22,24.25,19.0,24.09,0.157
587.32,24.25,19.0,24.1,0.15
591.41,24.312,19.0,24.11,0.205
595.51,24.312,19.0,24.11,0.198
599.61,24.312,19.0,24.12,0.191
603.7,24.312,19.0,24.13,0.184
607.8,24.375,19.0,24.14,0.24
611.89,24.375,19.0,24.14,0.233
615.99,24.375,19.0,24.15,0.226
620.09,24.375,18.937,24.16,0.22
624.18,24.375,19.0,24.16,0.213
628.28,24.375,18.937,24.17,0.206
632.37,24.375,18.937,24.18,0.2
636.47,24.437,19.0,24.18,0.255
640.57,24.437,18.937,24.19,0.248
644.66,24.437,18.937,24.2,0.242
648.76,24.437,19.0,24.2,0.235
652.85,24.437,19.0,24.21,0.228
656.95,24.437,19.0,24.22,0.222
661.05,24.5,19.0,24.22,0.278
665.14,24.5,19.0,24.23,0.271
669.24,24.5,19.0,24.24,0.265
673.33,24.5,19.0,24.24,0.258
677.43,24.562,19.0,24.25,0.314
681.53,24.5,19.0,24.25,0.245
685.62,24.5,19.0,24.26,0.239
689.72,24.562,19.0,24.27,0.294
693.81,24.562,19.0,24.27,0.288
697.91,24.562,19.0,24.28,0.281
702.01,24.562,19.0,24.29,0.275
706.1,24.562,19.0,24.29,0.268
710.2,24.562,19.0,24.3,0.262
714.29,24.625,19.0,24.31,0.319
718.39,24.625,19.0,24.31,0.312
722.49,24.625,19.0,24.32,0.306
726.58,24.625,18.937,24.33,0.3
730.68,24.625,19.0,24.33,0.293
734.77,24.625,19.0,24.34,0.287
738.87,24.687,19.0,24.34,0.343
742.97,24.687,19.0,24.35,0.336
747.06,24.687,19.0,24.36,0.33
751.16,24.687,19.0,24.36,0.324
755.25,24.687,19.0,24.37,0.318
759.35,24.687,19.0,24.38,0.312
763.45,24.75,19.0,24.38,0.368
767.54,24.75,19.0,24.39,0.362
771.64,24.75,19.0,24.39,0.356
775.73,24.75,19.0,24.4,0.35
779.83,24.75,19.0,24.41,0.344
783.93,24.75,19.0,24.41,0.338
788.02,24.812,19.0,24.42,0.394
792.12,24.812,19.0,24.42,0.388
796.21,24.812,19.0,24.43,0.382
800.31,24.812,19.0,24.44,0.376
804.41,24.812,19.0,24.44,0.37
808.5,24.812,19.0,24.45,0.364
812.6,24.812,19.0,24.45,0.358
816.69,24.875,19.0,24.46,0.415
820.79,24.875,19.0,24.47,0.409
824.89,24.875,19.0,24.47,0.403
828.98,24.875,19.0,24.48,0.397
833.08,24.875,19.0,24.48,0.391
837.17,24.937,19.0,24.49,0.447
841.27,24.937,19.0,24.5,0.441
845.37,24.937,19.0,24.5,0.436
849.46,24.937,19.0,24.51,0.43
853.56,24.937,19.0,24.51,0.424
857.65,24.937,19.0,24.52,0.418
861.75,25.0,19.0,24.52,0.475
865.85,25.0,19.0,24.53,0.47
869.94,25.0,19.0,24.54,0.464
874.04,25.0,19.0,24.54,0.458
878.13,25.0,19.0,24.55,0.452
882.23,25.062,19.0,24.55,0.509
886.33,25.062,19.0,24.56,0.503
890.42,25.062,19.0,24.56,0.497
894.52,25.062,19.062,24.57,0.492
898.61,25.062,19.0,24.58,0.486
902.71,25.125,19.0,24.58,0.543
906.81,25.062,19.062,24.59,0.475
910.9,25.125,19.0,24.59,0.532
915.0,25.062,19.0,24.6,0.464
919.09,25.125,19.062,24.6,0.521
923.19,25.125,19.062,24.61,0.515
927.29,25.125,19.062,24.62,0.509
931.38,25.125,19.0,24.62,0.504
935.48,25.187,19.0,24.63,0.56
939.57,25.187,19.062,24.63,0.555
943.67,25.187,19.062,24.64,0.549
947.77,25.187,19.062,24.64,0.544
951.86,25.187,19.062,24.65,0.538
955.96,25.187,19.062,24.65,0.532
960.05,25.187,19.062,24.66,0.527
964.15,25.25,19.062,24.67,0.584
968.25,25.25,19.062,24.67,0.579
972.34,25.25,19.062,24.68,0.573
976.44,25.25,19.062,24.68,0.568
980.53,25.25,19.062,24.69,0.562
984.63,25.25,19.062,24.69,0.557
988.73,25.312,19.062,24.7,0.614
992.82,25.312,19.062,24.7,0.608
996.92,25.312,19.062,24.71,0.603
1001.01,25.312,19.062,24.71,0.597
1005.11,25.312,19.062,24.72,0.592
1009.21,25.312,19.062,24.73,0.587
1013.3,25.312,19.062,24.73,0.581
1017.4,25.312,19.125,24.74,0.576
1021.49,25.375,19.062,24.74,0.633
1025.59,25.375,19.125,24.75,0.628
1029.69,25.312,19.125,24.75,0.559
1033.78,25.375,19.125,24.76,0.617
1037.88,25.375,19.125,24.76,0.612
1041.97,25.375,19.125,24.77,0.606
1046.07,25.437,19.125,24.77,0.663
1050.17,25.437,19.125,24.78,0.657
1054.26,25.437,19.125,24.79,0.652
1058.36,25.437,19.125,24.79,0.647
1062.45,25.437,19.125,24.8,0.641
1066.55,25.5,19.125,24.8,0.699
1070.65,25.437,19.125,24.81,0.631
1074.74,25.437,19.187,24.81,0.625
1078.84,25.5,19.125,24.82,0.683
1082.93,25.5,19.125,24.82,0.678
1087.03,25.5,19.125,24.83,0.672
1091.13,25.5,19.187,24.83,0.667
1095.22,25.5,19.125,24.84,0.662
1099.32,25.5,19.125,24.84,0.656
1103.41,25.5,19.125,24.85,0.651
