seconds,t_motor,t_ambient,t_predicted,residual
1.61,22.437,18.875,22.51,-0.069
5.71,22.5,18.875,22.52,-0.02
9.81,22.5,18.875,22.53,-0.034
13.91,22.5,18.875,22.55,-0.048
18.0,22.5,18.875,22.56,-0.063
22.1,22.5,18.937,22.58,-0.077
26.19,22.5,18.875,22.59,-0.091
30.29,22.5,18.875,22.61,-0.105
34.39,22.5,18.875,22.62,-0.119
38.48,22.5,18.875,22.63,-0.133
42.58,22.5,18.875,22.65,-0.147
46.67,22.5,18.875,22.66,-0.161
50.77,22.5,18.875,22.67,-0.175
54.87,22.5,18.875,22.69,-0.188
58.96,22.5,18.875,22.7,-0.202
63.06,22.562,18.875,22.72,-0.154
67.15,22.562,18.875,22.73,-0.168
71.25,22.562,18.875,22.74,-0.181
75.35,22.625,18.875,22.76,-0.132
79.44,22.562,18.875,22.77,-0.208
83.54,22.562,18.875,22.78,-0.222
87.64,22.562,18.875,22.8,-0.235
91.73,22.625,18.875,22.81,-0.186
95.83,22.625,18.875,22.82,-0.199
99.92,22.625,18.875,22.84,-0.213
104.02,22.625,18.937,22.85,-0.226
108.12,22.625,18.875,22.86,-0.24
112.21,22.687,18.875,22.88,-0.191
116.31,22.687,18.875,22.89,-0.204
120.4,22.687,18.875,22.9,-0.217
124.5,22.687,18.937,22.92,-0.231
128.6,22.75,18.875,22.93,-0.181
132.69,22.75,18.875,22.94,-0.194
136.79,22.75,18.937,22.96,-0.207
140.88,22.75,18.875,22.97,-0.22
144.98,22.812,18.875,22.98,-0.171
149.08,22.812,18.937,23.0,-0.184
153.17,22.812,18.937,23.01,-0.197
157.27,22.812,18.937,23.02,-0.21
161.36,22.875,18.937,23.04,-0.16
165.46,22.875,18.937,23.05,-0.173
169.56,22.875,18.937,23.06,-0.186
173.65,22.875,18.937,23.07,-0.199
177.75,22.937,18.937,23.09,-0.15
181.84,22.937,18.875,23.1,-0.162
185.94,22.937,18.937,23.11,-0.175
190.04,23.0,18.937,23.12,-0.125
194.13,23.0,18.937,23.14,-0.137
198.23,23.0,18.875,23.15,-0.15
202.32,23.062,18.937,23.16,-0.101
206.42,23.062,18.937,23.18,-0.113
210.51,23.062,18.937,23.19,-0.126
214.61,23.062,18.937,23.2,-0.138
218.71,23.125,18.937,23.21,-0.088
222.8,23.125,18.875,23.22,-0.1
226.9,23.125,18.937,23.24,-0.112
231.0,23.187,18.937,23.25,-0.063
235.09,23.187,18.937,23.26,-0.075
239.19,23.187,18.937,23.27,-0.087
243.28,23.187,18.937,23.29,-0.1
247.38,23.25,18.937,23.3,-0.049
251.47,23.25,18.937,23.31,-0.061
255.57,23.25,18.937,23.32,-0.073
259.67,23.25,18.937,23.34,-0.085
263.76,23.25,18.937,23.35,-0.097
267.86,23.312,18.875,23.36,-0.047
271.95,23.312,18.875,23.37,-0.059
276.05,23.312,18.875,23.38,-0.071
280.15,23.312,18.937,23.39,-0.083
284.24,23.375,18.875,23.41,-0.031
288.34,23.375,18.875,23.42,-0.043
292.43,23.375,18.875,23.43,-0.055
296.53,23.375,18.937,23.44,-0.067
300.63,23.437,18.937,23.45,-0.016
304.72,23.437,18.875,23.47,-0.028
308.82,23.437,18.937,23.48,-0.04
312.92,23.437,18.875,23.49,-0.051
317.01,23.5,18.875,23.5,0.0
321.11,23.5,18.875,23.51,-0.011
325.2,23.562,18.875,23.52,0.039
329.3,23.562,18.937,23.53,0.028
333.39,23.562,18.875,23.55,0.017
337.49,23.562,18.937,23.56,0.005
341.59,23.562,18.937,23.57,-0.006
345.68,23.562,18.937,23.58,-0.018
349.78,23.625,18.875,23.59,0.034
353.88,23.562,18.937,23.6,-0.04
357.97,23.625,18.875,23.61,0.012
362.07,23.625,18.937,23.62,0.0
366.16,23.625,18.875,23.64,-0.011
370.26,23.625,18.937,23.65,-0.022
374.35,23.625,18.937,23.66,-0.033
378.45,23.687,18.937,23.67,0.018
382.55,23.687,18.875,23.68,0.007
386.64,23.687,18.937,23.69,-0.004
390.74,23.687,18.875,23.7,-0.015
394.84,23.687,18.937,23.71,-0.026
398.93,23.75,18.937,23.72,0.026
403.03,23.75,18.875,23.74,0.015
407.12,23.75,18.937,23.75,0.004
411.22,23.75,18.875,23.76,-0.007
415.32,23.75,18.937,23.77,-0.018
419.41,23.812,18.937,23.78,0.034
423.51,23.812,18.875,23.79,0.023
427.6,23.812,18.875,23.8,0.012
431.7,23.812,18.937,23.81,0.002
435.8,23.812,18.875,23.82,-0.009
439.89,23.875,18.875,23.83,0.044
443.99,23.875,18.875,23.84,0.033
448.08,23.875,18.875,23.85,0.023
452.18,23.875,18.875,23.86,0.012
456.27,23.937,18.875,23.87,0.064
460.37,23.937,18.875,23.88,0.053
464.47,23.875,18.875,23.89,-0.019
468.56,23.937,18.937,23.9,0.033
472.66,23.937,18.875,23.91,0.022
476.76,23.937,18.875,23.92,0.012
480.85,24.0,18.937,23.94,0.065
484.95,24.0,18.875,23.95,0.055
489.04,24.0,18.875,23.96,0.044
493.14,24.0,18.875,23.97,0.034
497.24,24.0,18.937,23.98,0.024
501.33,24.0,18.937,23.99,0.014
505.43,24.0,18.875,24.0,0.004
509.52,24.0,18.875,24.01,-0.006
513.62,24.062,18.937,24.02,0.046
517.72,24.062,18.937,24.03,0.036
521.81,24.062,18.937,24.04,0.025
525.91,24.062,18.937,24.05,0.015
530.0,24.125,18.875,24.06,0.069
534.1,24.125,18.875,24.07,0.059
538.19,24.125,18.875,24.08,0.049
542.29,24.187,18.937,24.09,0.101
546.39,24.125,18.937,24.1,0.029
550.48,24.125,18.875,24.11,0.019
554.58,24.187,18.937,24.12,0.071
558.68,24.187,18.875,24.13,0.062
562.77,24.187,18.937,24.14,0.052
566.87,24.187,18.937,24.14,0.042
570.96,24.25,18.875,24.15,0.096
575.06,24.25,18.875,24.16,0.086
579.16,24.25,18.875,24.17,0.077
583.25,24.25,18.937,24.18,0.067
587.35,24.25,18.937,24.19,0.057
591.44,24.312,18.875,24.2,0.11
595.54,24.312,18.937,24.21,0.1
599.63,24.312,18.937,24.22,0.091
603.73,24.312,18.875,24.23,0.081
607.83,24.312,18.937,24.24,0.072
611.92,24.375,18.937,24.25,0.125
616.02,24.375,18.937,24.26,0.116
620.12,24.375,18.937,24.27,0.106
624.21,24.437,18.937,24.28,0.159
628.31,24.375,18.937,24.29,0.088
632.4,24.375,18.875,24.3,0.079
636.5,24.375,18.875,24.31,0.069
640.6,24.437,18.937,24.31,0.122
644.69,24.437,18.937,24.32,0.113
648.79,24.437,18.875,24.33,0.104
652.88,24.437,18.937,24.34,0.095
656.98,24.437,18.937,24.35,0.085
661.08,24.437,18.937,24.36,0.076
665.17,24.5,18.937,24.37,0.13
669.27,24.5,18.937,24.38,0.121
673.36,24.5,18.937,24.39,0.112
677.46,24.5,18.937,24.4,0.103
681.56,24.5,18.937,24.41,0.094
685.65,24.562,18.937,24.42,0.147
689.75,24.562,18.937,24.42,0.138
693.84,24.5,18.937,24.43,0.067
697.94,24.562,18.937,24.44,0.12
702.03,24.562,18.937,24.45,0.111
706.13,24.562,18.937,24.46,0.102
710.23,24.562,18.937,24.47,0.093
714.32,24.625,18.937,24.48,0.148
718.42,24.625,18.937,24.49,0.139
722.51,24.625,18.875,24.49,0.13
726.61,24.625,18.937,24.5,0.121
730.71,24.625,18.937,24.51,0.113
734.8,24.625,18.937,24.52,0.104
738.9,24.625,18.937,24.53,0.095
742.99,24.625,18.937,24.54,0.087
747.09,24.687,18.937,24.55,0.14
751.19,24.687,18.937,24.56,0.131
755.28,24.687,18.937,24.56,0.123
759.38,24.687,18.937,24.57,0.114
763.47,24.75,18.937,24.58,0.169
767.57,24.687,18.937,24.59,0.097
771.67,24.687,19.0,24.6,0.089
775.76,24.75,18.937,24.61,0.143
779.86,24.812,19.0,24.62,0.197
783.95,24.75,19.0,24.62,0.126
788.05,24.812,18.937,24.63,0.18
792.15,24.75,18.937,24.64,0.109
796.24,24.75,19.0,24.65,0.101
800.34,24.75,19.0,24.66,0.092
804.43,24.812,18.937,24.67,0.146
808.53,24.812,18.937,24.67,0.138
812.63,24.812,18.937,24.68,0.13
816.72,24.812,19.0,24.69,0.121
820.82,24.812,18.937,24.7,0.113
824.92,24.812,18.937,24.71,0.105
829.01,24.812,18.937,24.72,0.097
833.11,24.875,18.937,24.72,0.152
837.2,24.812,18.937,24.73,0.08
841.3,24.875,18.937,24.74,0.135
845.39,24.875,18.937,24.75,0.127
849.49,24.875,18.937,24.76,0.119
853.59,24.875,19.0,24.76,0.111
857.68,24.937,19.0,24.77,0.165
861.78,24.875,18.937,24.78,0.095
865.87,24.875,19.0,24.79,0.087
869.97,24.937,18.937,24.8,0.141
874.07,24.937,18.937,24.8,0.133
878.16,24.937,19.0,24.81,0.125
882.26,24.937,18.937,24.82,0.117
886.35,25.0,18.937,24.83,0.173
890.45,25.0,18.937,24.84,0.165
894.55,24.937,19.0,24.84,0.094
