seconds,t_motor,t_ambient,t_predicted,residual
1.59,23.0,19.687,22.94,0.056
5.69,22.937,19.625,22.96,-0.025
9.79,22.937,19.625,22.98,-0.044
13.89,22.937,19.625,23.0,-0.062
17.98,22.937,19.625,23.02,-0.08
22.08,22.937,19.687,23.04,-0.098
26.17,22.937,19.687,23.05,-0.116
30.27,22.937,19.687,23.07,-0.135
34.37,22.875,19.687,23.09,-0.215
38.46,22.875,19.625,23.11,-0.233
42.56,22.875,19.625,23.13,-0.25
46.65,22.875,19.625,23.14,-0.268
50.75,22.875,19.625,23.16,-0.286
54.85,22.875,19.625,23.18,-0.304
58.94,22.875,19.625,23.2,-0.321
63.04,22.812,19.625,23.21,-0.402
67.13,22.812,19.625,23.23,-0.419
71.23,22.875,19.625,23.25,-0.374
75.33,22.812,19.625,23.27,-0.454
79.42,22.812,19.625,23.28,-0.471
83.52,22.812,19.625,23.3,-0.489
87.61,22.812,19.625,23.32,-0.506
91.71,22.875,19.625,23.34,-0.46
95.81,22.812,19.562,23.35,-0.54
99.9,22.812,19.625,23.37,-0.557
104.0,22.812,19.562,23.39,-0.574
108.09,22.812,19.562,23.4,-0.591
112.19,22.875,19.562,23.42,-0.545
116.29,22.812,19.562,23.44,-0.624
120.38,22.812,25.0,23.47,-0.657
124.48,22.812,23.437,23.5,-0.685
128.57,22.812,23.437,23.52,-0.712
132.67,22.812,23.437,23.55,-0.74
136.77,22.812,23.375,23.58,-0.767
140.86,22.812,23.375,23.61,-0.794
144.96,22.875,23.375,23.63,-0.759
149.05,22.812,23.375,23.66,-0.849
153.15,22.875,23.375,23.69,-0.813
157.25,22.812,23.437,23.71,-0.903
161.34,22.875,23.375,23.74,-0.867
165.44,22.875,23.375,23.77,-0.893
169.53,22.875,23.375,23.8,-0.92
173.63,22.875,23.375,23.82,-0.947
177.73,22.937,23.375,23.85,-0.911
181.82,22.937,23.437,23.87,-0.938
185.92,22.875,23.375,23.9,-1.026
190.01,22.937,23.375,23.93,-0.991
194.11,22.937,23.375,23.95,-1.017
198.21,22.937,23.375,23.98,-1.043
202.3,22.937,23.375,24.01,-1.069
206.4,22.937,23.375,24.03,-1.095
210.49,22.937,23.312,24.06,-1.121
214.59,22.937,23.312,24.08,-1.147
218.69,23.0,23.312,24.11,-1.109
222.78,23.0,23.312,24.13,-1.135
226.88,23.0,23.312,24.16,-1.16
230.97,23.062,23.312,24.19,-1.124
235.07,23.062,23.312,24.21,-1.149
239.17,23.062,23.312,24.24,-1.174
243.26,23.062,23.312,24.26,-1.199
247.36,23.062,23.312,24.29,-1.225
251.45,23.062,23.312,24.31,-1.25
255.55,23.125,23.312,24.34,-1.212
259.65,23.125,23.312,24.36,-1.236
263.74,23.125,23.312,24.39,-1.261
267.84,23.125,23.312,24.41,-1.286
271.93,23.125,23.312,24.44,-1.311
276.03,23.187,23.312,24.46,-1.273
280.13,23.187,23.25,24.48,-1.298
284.22,23.187,23.312,24.51,-1.322
288.32,23.25,23.312,24.53,-1.284
292.41,23.25,23.312,24.56,-1.308
296.51,23.25,23.25,24.58,-1.332
300.61,23.25,23.25,24.61,-1.356
304.7,23.25,23.25,24.63,-1.38
308.8,23.312,23.25,24.65,-1.342
312.89,23.25,23.25,24.68,-1.427
316.99,23.312,23.25,24.7,-1.389
321.09,23.312,23.25,24.72,-1.413
325.18,23.312,23.312,24.75,-1.437
329.28,23.375,23.25,24.77,-1.397
333.37,23.375,23.25,24.8,-1.421
337.47,23.375,23.25,24.82,-1.444
341.57,23.437,23.25,24.84,-1.405
345.66,23.437,23.312,24.87,-1.429
349.76,23.437,23.312,24.89,-1.452
353.85,23.437,23.25,24.91,-1.475
357.95,23.5,23.312,24.94,-1.435
362.05,23.5,23.25,24.96,-1.458
366.14,23.5,23.312,24.98,-1.482
370.24,23.5,23.25,25.0,-1.504
374.33,23.562,23.25,25.03,-1.465
378.43,23.562,23.25,25.05,-1.488
382.53,23.562,23.25,25.07,-1.511
386.62,23.562,23.25,25.1,-1.533
390.72,23.562,23.25,25.12,-1.556
394.81,23.562,23.25,25.14,-1.578
398.91,23.625,23.25,25.16,-1.538
403.01,23.625,23.25,25.18,-1.56
407.1,23.625,23.25,25.21,-1.582
411.2,23.625,23.25,25.23,-1.604
415.29,23.687,23.25,25.25,-1.565
419.39,23.687,23.25,25.27,-1.587
423.49,23.687,23.25,25.3,-1.609
427.58,23.75,23.25,25.32,-1.568
431.68,23.75,23.312,25.34,-1.59
435.77,23.75,23.312,25.36,-1.612
439.87,23.75,23.25,25.38,-1.633
443.97,23.75,23.312,25.41,-1.655
448.06,23.812,23.312,25.43,-1.615
452.16,23.875,23.312,25.45,-1.574
456.25,23.812,23.312,25.47,-1.658
460.35,23.875,23.312,25.49,-1.617
464.45,23.875,23.312,25.51,-1.639
468.54,23.875,23.312,25.54,-1.66
472.64,23.875,23.312,25.56,-1.682
476.73,23.937,23.312,25.58,-1.641
480.83,23.937,23.312,25.6,-1.662
484.93,23.937,23.312,25.62,-1.684
489.02,23.937,23.312,25.64,-1.705
493.12,23.937,23.312,25.66,-1.726
497.21,23.937,23.25,25.68,-1.747
501.31,24.0,23.312,25.7,-1.705
505.41,24.0,23.312,25.73,-1.726
509.5,24.0,23.312,25.75,-1.747
513.6,24.0,23.312,25.77,-1.767
517.69,24.0,23.312,25.79,-1.788
521.79,24.062,23.312,25.81,-1.747
525.89,24.062,23.312,25.83,-1.768
529.98,24.062,23.312,25.85,-1.788
534.08,24.062,23.312,25.87,-1.809
538.17,24.062,23.312,25.89,-1.829
542.27,24.125,23.312,25.91,-1.787
546.37,24.125,23.25,25.93,-1.807
550.46,24.125,23.312,25.95,-1.827
554.56,24.187,23.312,25.97,-1.785
558.65,24.125,23.312,25.99,-1.867
562.75,24.187,23.312,26.01,-1.826
566.85,24.187,23.312,26.03,-1.846
570.94,24.187,23.312,26.05,-1.866
575.04,24.187,23.312,26.07,-1.886
579.13,24.25,23.375,26.09,-1.843
583.23,24.25,23.312,26.11,-1.863
587.33,24.312,23.312,26.13,-1.82
591.42,24.312,23.375,26.15,-1.84
595.52,24.312,23.312,26.17,-1.86
599.61,24.25,23.375,26.19,-1.942
603.71,24.312,23.312,26.21,-1.899
607.81,24.312,23.312,26.23,-1.919
611.9,24.312,23.375,26.25,-1.938
616.0,24.375,23.375,26.27,-1.895
620.09,24.375,23.375,26.29,-1.914
624.19,24.375,23.312,26.31,-1.934
628.29,24.375,23.312,26.33,-1.953
632.38,24.437,23.375,26.35,-1.91
636.48,24.437,23.312,26.37,-1.929
640.57,24.437,23.312,26.39,-1.948
644.67,24.437,23.312,26.4,-1.967
648.77,24.437,23.375,26.42,-1.986
652.86,24.437,23.375,26.44,-2.006
656.96,24.437,23.375,26.46,-2.025
661.05,24.437,23.375,26.48,-2.043
665.15,24.5,23.375,26.5,-1.999
669.25,24.437,23.375,26.52,-2.081
673.34,24.5,23.375,26.54,-2.037
677.44,24.5,23.375,26.56,-2.056
681.53,24.562,23.375,26.57,-2.012
685.63,24.562,23.312,26.59,-2.031
689.73,24.562,23.312,26.61,-2.049
693.82,24.5,23.375,26.63,-2.13
697.92,24.562,23.375,26.65,-2.086
702.01,24.562,23.375,26.67,-2.105
706.11,24.562,23.375,26.69,-2.123
710.21,24.562,23.375,26.7,-2.141
714.3,24.625,23.375,26.72,-2.097
718.4,24.562,23.312,26.74,-2.178
722.49,24.562,23.375,26.76,-2.196
726.59,24.625,23.375,26.78,-2.151
730.69,24.625,23.375,26.79,-2.169
734.78,24.625,23.375,26.81,-2.187
738.88,24.625,23.375,26.83,-2.205
742.97,24.625,23.375,26.85,-2.223
747.07,24.625,23.375,26.87,-2.241
751.17,24.687,23.375,26.88,-2.196
755.26,24.625,23.375,26.9,-2.276
759.36,24.687,23.375,26.92,-2.232
763.45,24.687,23.375,26.94,-2.249
767.55,24.687,23.375,26.95,-2.267
771.65,24.687,23.375,26.97,-2.285
775.74,24.687,23.375,26.99,-2.302
779.84,24.75,23.375,27.01,-2.256
783.93,24.75,23.375,27.02,-2.274
788.03,24.75,23.375,27.04,-2.291
792.13,24.75,23.375,27.06,-2.308
796.22,24.75,23.375,27.08,-2.326
800.32,24.812,23.375,27.09,-2.281
804.41,24.812,23.375,27.11,-2.298
808.51,24.812,23.375,27.13,-2.315
812.61,24.812,23.375,27.14,-2.332
816.7,24.812,23.437,27.16,-2.349
820.8,24.812,23.375,27.18,-2.366
824.89,24.812,23.312,27.19,-2.383
828.99,24.812,23.375,27.21,-2.4
833.09,24.812,23.375,27.23,-2.417
837.18,24.812,23.375,27.25,-2.433
841.28,24.812,23.375,27.26,-2.45
845.37,24.875,23.375,27.28,-2.404
849.47,24.875,23.375,27.3,-2.42
853.57,24.875,23.375,27.31,-2.437
857.66,24.875,23.375,27.33,-2.453
861.76,24.875,23.375,27.34,-2.47
865.85,24.875,23.375,27.36,-2.486
869.95,24.937,23.375,27.38,-2.441
874.05,24.875,23.375,27.39,-2.519
878.14,24.937,23.375,27.41,-2.473
882.24,24.875,23.375,27.43,-2.551
886.33,24.937,23.375,27.44,-2.506
890.43,24.937,23.375,27.46,-2.522
894.53,24.937,23.312,27.47,-2.538
898.62,24.937,23.375,27.49,-2.554
902.72,24.937,23.375,27.51,-2.57
906.81,24.937,23.375,27.52,-2.586
910.91,24.937,23.375,27.54,-2.601
915.01,25.0,23.375,27.55,-2.554
919.1,24.937,23.375,27.57,-2.633
923.2,25.0,23.375,27.59,-2.586
927.29,25.0,23.375,27.6,-2.602
931.39,25.0,23.375,27.62,-2.617
935.49,25.0,23.375,27.63,-2.633
939.58,25.0,23.375,27.65,-2.648
943.68,25.0,23.437,27.66,-2.664
947.77,25.0,23.375,27.68,-2.68
951.87,25.0,23.375,27.7,-2.695
955.97,25.062,23.375,27.71,-2.649
960.06,25.062,23.437,27.73,-2.664
964.16,25.062,23.375,27.74,-2.679
968.25,25.062,23.375,27.76,-2.695
972.35,25.062,23.375,27.77,-2.71
976.45,25.062,23.375,27.79,-2.725
980.54,25.062,23.375,27.8,-2.74
984.64,25.062,23.375,27.82,-2.755
988.73,25.062,23.375,27.83,-2.77
992.83,25.062,23.375,27.85,-2.785
996.93,25.062,23.375,27.86,-2.8
1001.02,25.125,23.375,27.88,-2.752
1005.12,25.125,23.375,27.89,-2.767
1009.21,25.125,23.375,27.91,-2.782
1013.31,25.187,23.375,27.92,-2.735
1017.41,25.187,23.375,27.94,-2.749
1021.5,25.187,23.375,27.95,-2.764
1025.6,25.187,23.375,27.97,-2.779
1029.69,25.187,23.375,27.98,-2.793
1033.79,25.187,23.375,28.0,-2.808
1037.89,25.25,23.375,28.01,-2.76
1041.98,25.25,23.375,28.02,-2.774
1046.08,25.25,23.375,28.04,-2.789
1050.17,25.187,23.375,28.05,-2.866
1054.27,25.25,23.375,28.07,-2.817
1058.37,25.25,23.375,28.08,-2.832
1062.46,25.312,23.375,28.1,-2.784
1066.56,25.312,23.375,28.11,-2.798
1070.65,25.25,23.375,28.12,-2.874
1074.75,25.312,23.375,28.14,-2.827
1078.85,25.312,23.375,28.15,-2.841
1082.94,25.312,23.375,28.17,-2.855
1087.04,25.312,23.375,28.18,-2.869
1091.13,25.312,23.375,28.19,-2.883
1095.23,25.375,23.375,28.21,-2.834
1099.33,25.375,23.375,28.22,-2.848
1103.42,25.312,23.375,28.24,-2.925
1107.52,25.375,23.375,28.25,-2.875
1111.61,25.375,23.375,28.26,-2.889
1115.71,25.375,23.375,28.28,-2.903
1119.81,25.375,23.375,28.29,-2.917
1123.9,25.375,23.375,28.31,-2.93
1128.0,25.375,23.375,28.32,-2.944
1132.09,25.437,23.375,28.33,-2.896
1136.19,25.437,23.375,28.35,-2.909
1140.29,25.437,23.375,28.36,-2.923
1144.38,25.437,23.375,28.37,-2.936
1148.48,25.437,23.375,28.39,-2.95
1152.57,25.437,23.375,28.4,-2.963
1156.67,25.5,23.375,28.41,-2.913
1160.77,25.5,23.375,28.43,-2.927
1164.86,25.5,23.375,28.44,-2.94
1168.96,25.5,23.437,28.45,-2.954
1173.05,25.5,23.437,28.47,-2.967
1177.15,25.562,23.437,28.48,-2.918
1181.25,25.5,23.437,28.49,-2.994
1185.34,25.5,23.437,28.51,-3.007
1189.44,25.562,23.437,28.52,-2.958
1193.53,25.562,23.437,28.53,-2.971
1197.63,25.562,23.437,28.55,-2.984
1201.73,25.562,23.437,28.56,-2.998
1205.82,25.625,23.437,28.57,-2.948
1209.92,25.562,23.437,28.59,-3.024
1214.01,25.625,23.437,28.6,-2.974
1218.11,25.625,23.437,28.61,-2.987
1222.21,25.625,23.437,28.62,-3.0
1226.3,25.625,23.437,28.64,-3.013
1230.4,25.625,23.437,28.65,-3.025
1234.49,25.625,23.437,28.66,-3.038
1238.59,25.625,23.437,28.68,-3.051
1242.69,25.687,23.437,28.69,-3.002
1246.78,25.687,23.437,28.7,-3.015
1250.88,25.687,23.437,28.71,-3.027
1254.97,25.75,23.437,28.73,-2.977
1259.07,25.687,23.437,28.74,-3.053
1263.17,25.75,23.5,28.75,-3.002
1267.26,25.75,23.5,28.76,-3.015
1271.36,25.75,23.5,28.78,-3.028
1275.45,25.75,23.5,28.79,-3.04
1279.55,25.75,23.5,28.8,-3.053
1283.65,25.75,23.5,28.82,-3.065
1287.74,25.812,23.562,28.83,-3.016
1291.84,25.812,23.5,28.84,-3.029
1295.93,25.75,23.5,28.85,-3.103
1300.03,25.812,23.5,28.87,-3.054
1304.13,25.812,23.5,28.88,-3.066
1308.22,25.812,23.5,28.89,-3.078
1312.32,25.812,23.5,28.9,-3.091
1316.41,25.812,23.562,28.92,-3.103
1320.51,25.812,23.562,28.93,-3.116
1324.61,25.875,23.562,28.94,-3.065
1328.7,25.875,23.562,28.95,-3.077
1332.8,25.875,23.562,28.96,-3.09
1336.89,25.875,23.625,28.98,-3.102
