seconds,t_motor,t_ambient
1.59,22.5,22.56
5.69,22.56,22.5
9.79,22.56,22.5
13.89,22.56,22.5
17.98,22.56,22.5
22.08,22.56,22.56
26.17,22.56,22.5
30.27,22.56,22.5
34.37,22.56,22.5
38.46,22.56,22.5
42.56,22.56,22.5
46.65,22.62,22.56
50.75,22.62,22.56
54.85,22.62,22.56
58.94,22.62,22.56
63.04,22.62,22.56
67.13,22.62,22.56
71.23,22.62,22.56
75.33,22.62,22.56
79.42,22.69,22.56
83.52,22.62,22.5
87.61,22.69,22.56
91.71,22.75,22.56
95.81,22.75,22.56
99.9,22.75,22.56
104.0,22.75,22.62
108.09,22.75,22.56
112.19,22.81,22.62
116.29,22.81,22.62
120.38,22.81,22.62
124.48,22.81,22.62
128.57,22.88,22.62
132.67,22.88,22.56
136.77,22.94,22.56
140.86,22.94,22.62
144.96,22.94,22.62
149.05,22.94,22.62
153.15,22.94,22.69
157.25,23.0,22.62
161.34,23.06,22.62
165.44,23.06,22.69
169.53,23.06,22.62
173.63,23.06,22.62
177.73,23.06,22.62
181.82,23.06,22.62
185.92,23.12,22.69
190.01,23.12,22.62
194.11,23.19,22.62
198.21,23.19,22.62
202.3,23.19,22.62
206.4,23.25,22.62
210.49,23.25,22.62
214.59,23.25,22.62
218.69,23.25,22.62
222.78,23.25,22.62
226.88,23.31,22.62
230.97,23.38,22.69
235.07,23.38,22.69
239.17,23.38,22.69
243.26,23.38,22.69
247.36,23.38,22.69
251.45,23.44,22.62
255.55,23.44,22.69
259.65,23.5,22.69
263.74,23.5,22.69
267.84,23.5,22.75
271.93,23.56,22.69
276.03,23.56,22.69
280.13,23.62,22.69
284.22,23.56,22.69
288.32,23.62,22.69
292.41,23.62,22.69
296.51,23.69,22.75
300.61,23.69,22.75
304.7,23.69,22.75
308.8,23.75,22.69
312.89,23.75,22.75
316.99,23.75,22.75
321.09,23.75,22.75
325.18,23.81,22.75
329.28,23.81,22.75
333.37,23.81,22.75
337.47,23.81,22.75
341.57,23.88,22.75
345.66,23.88,22.75
349.76,23.88,22.75
353.85,23.94,22.75
357.95,23.94,22.75
362.05,23.94,22.75
366.14,24.0,22.75
370.24,23.94,22.75
374.33,24.0,22.75
378.43,24.0,22.75
382.53,24.0,22.75
386.62,24.06,22.75
390.72,24.06,22.75
394.81,24.12,22.75
398.91,24.12,22.75
403.01,24.12,22.75
407.1,24.12,22.81
411.2,24.12,22.75
415.29,24.12,22.81
419.39,24.19,22.75
423.49,24.19,22.75
427.58,24.25,22.75
431.68,24.19,22.75
435.77,24.25,22.75
439.87,24.25,22.81
443.97,24.25,22.81
448.06,24.25,22.75
452.16,24.31,22.81
456.25,24.31,22.75
460.35,24.31,22.81
464.45,24.38,22.81
468.54,24.38,22.81
472.64,24.38,22.81
476.73,24.38,22.81
480.83,24.44,22.81
484.93,24.44,22.81
489.02,24.44,22.81
493.12,24.44,22.81
497.21,24.5,22.81
501.31,24.5,22.81
505.41,24.5,22.88
509.5,24.5,22.88
513.6,24.5,22.88
517.69,24.5,22.81
521.79,24.5,22.88
525.89,24.56,22.81
529.98,24.56,22.81
534.08,24.56,22.81
538.17,24.56,22.81
542.27,24.62,22.81
546.37,24.62,22.81
550.46,24.69,22.81
554.56,24.62,22.88
558.65,24.62,22.88
562.75,24.62,22.88
566.85,24.69,22.88
570.94,24.69,22.88
575.04,24.69,22.88
579.13,24.69,22.88
583.23,24.75,22.81
587.33,24.75,22.88
591.42,24.75,22.88
595.52,24.75,22.88
599.61,24.75,22.81
603.71,24.81,22.88
607.81,24.81,22.88
611.9,24.81,22.94
616.0,24.81,22.88
620.09,24.81,22.88
624.19,24.81,22.88
628.29,24.88,22.88
632.38,24.88,22.88
636.48,24.88,22.88
640.57,24.94,22.94
644.67,24.88,22.94
648.77,24.88,22.88
652.86,24.94,22.94
656.96,24.94,22.88
661.05,24.94,22.94
665.15,25.0,22.94
669.25,24.94,22.88
673.34,25.0,22.88
677.44,25.0,22.94
681.53,25.0,22.94
685.63,25.0,22.94
689.73,25.0,22.94
693.82,25.0,22.94
697.92,25.0,22.94
702.01,25.06,22.94
706.11,25.06,22.94
710.21,25.06,22.94
714.3,25.06,22.94
718.4,25.06,22.94
722.49,25.12,22.94
726.59,25.12,22.94
730.69,25.12,22.94
734.78,25.06,23.0
738.88,25.12,23.0
742.97,25.12,22.94
747.07,25.19,22.94
751.17,25.19,23.0
755.26,25.19,23.0
759.36,25.19,23.0
763.45,25.19,22.94
767.55,25.25,23.0
771.65,25.19,22.94
775.74,25.25,23.0
779.84,25.25,23.0
783.93,25.25,23.0
788.03,25.25,22.94
792.13,25.25,23.0
796.22,25.25,23.0
800.32,25.31,23.0
804.41,25.31,23.0
808.51,25.31,23.0
812.61,25.38,23.0
816.7,25.31,23.0
820.8,25.38,23.0
824.89,25.38,23.0
828.99,25.38,23.0
833.09,25.38,23.0
837.18,25.44,23.0
841.28,25.44,23.06
845.37,25.44,23.06
849.47,25.44,23.06
853.57,25.44,23.0
857.66,25.5,23.06
861.76,25.5,23.06
865.85,25.5,23.06
869.95,25.5,23.06
874.05,25.5,23.06
878.14,25.5,23.06
882.24,25.5,23.06
886.33,25.5,23.06
890.43,25.56,23.06
894.53,25.56,23.12
898.62,25.56,23.12
902.72,25.62,23.06
906.81,25.56,23.06
910.91,25.62,23.12
915.01,25.62,23.06
919.1,25.62,23.12
923.2,25.62,23.06
927.29,25.69,23.12
931.39,25.62,23.12
935.49,25.62,23.12
939.58,25.69,23.12
943.68,25.69,23.12
947.77,25.69,23.12
951.87,25.69,23.12
955.97,25.69,23.12
960.06,25.69,23.12
964.16,25.69,23.12
968.25,25.69,23.12
972.35,25.75,23.12
976.45,25.75,23.12
980.54,25.75,23.12
984.64,25.69,23.12
988.73,25.75,23.19
992.83,25.75,23.19
996.93,25.75,23.19
1001.02,25.81,23.19
1005.12,25.75,23.19
1009.21,25.75,23.19
1013.31,25.81,23.19
1017.41,25.81,23.19
1021.5,25.75,23.19
1025.6,25.81,23.19
1029.69,25.81,23.12
1033.79,25.81,23.19
1037.89,25.81,23.19
1041.98,25.81,23.19
1046.08,25.81,23.19
1050.17,25.81,23.19
1054.27,25.88,23.19
1058.37,25.81,23.12
1062.46,25.88,23.19
1066.56,25.81,23.19
1070.65,25.81,23.19
1074.75,25.88,23.19
1078.85,25.88,23.19
1082.94,25.88,23.19
1087.04,25.88,23.19
1091.13,25.88,23.19
1095.23,25.88,23.19
