seconds,t_motor,t_ambient
1.6,22.0,22.437
5.7,22.0,22.437
9.8,22.0,22.437
13.9,22.0,22.437
17.99,22.0,22.5
22.09,22.0,22.5
26.19,22.0,22.5
30.28,22.06,22.5
34.38,22.0,22.5
38.47,22.0,22.5
42.6,22.0,22.5
46.7,22.06,22.5
50.79,22.06,22.437
54.89,22.12,22.437
58.99,22.12,22.437
63.08,22.19,22.5
67.18,22.19,22.5
71.27,22.19,22.5
75.37,22.25,22.437
79.47,22.25,22.5
83.56,22.31,22.5
87.66,22.38,22.437
91.75,22.38,22.5
95.85,22.38,22.437
99.95,22.44,22.5
104.04,22.44,22.5
108.14,22.5,22.437
112.23,22.56,22.5
116.33,22.56,22.437
120.43,22.56,22.437
124.52,22.62,22.437
128.62,22.69,22.437
132.71,22.75,22.437
136.81,22.75,22.437
140.91,22.81,22.437
145.0,22.88,22.5
149.1,22.88,22.5
153.19,22.94,22.437
157.29,23.0,22.5
161.39,23.0,22.437
165.48,23.06,22.5
169.58,23.12,22.437
173.67,23.19,22.437
177.77,23.19,22.437
181.87,23.25,22.437
185.96,23.31,22.5
190.06,23.31,22.437
194.15,23.38,22.437
198.25,23.44,22.5
202.35,23.5,22.437
206.44,23.56,22.5
210.54,23.56,22.437
214.63,23.62,22.437
218.73,23.69,22.437
222.83,23.75,22.437
226.92,23.75,22.437
231.02,23.81,22.437
235.11,23.88,22.5
239.21,23.94,22.437
243.31,23.94,22.437
247.4,24.0,22.437
251.5,24.0,22.437
255.59,24.12,22.437
259.69,24.19,22.5
263.79,24.19,22.437
267.88,24.25,22.5
271.98,24.31,22.437
276.07,24.38,22.437
280.17,24.38,22.437
284.27,24.44,22.437
288.36,24.5,22.437
292.46,24.56,22.5
296.55,24.62,22.437
300.65,24.69,22.5
304.75,24.69,22.437
308.84,24.75,22.437
312.94,24.81,22.437
317.03,24.81,22.437
321.13,24.88,22.437
325.23,24.94,22.437
329.32,25.0,22.437
333.42,25.06,22.437
337.51,25.12,22.437
341.61,25.12,22.437
345.71,25.19,22.437
349.8,25.25,22.437
353.9,25.25,22.437
357.99,25.31,22.437
362.09,25.38,22.437
366.19,25.44,22.437
370.28,25.44,22.437
374.38,25.5,22.437
378.47,25.5,22.437
382.57,25.62,22.437
386.67,25.62,22.437
390.76,25.69,22.437
394.86,25.75,22.437
398.95,25.75,22.437
403.05,25.81,22.437
407.15,25.88,22.437
411.24,25.94,22.437
415.34,25.94,22.437
419.43,26.0,22.437
423.53,26.06,22.437
427.63,26.06,22.437
431.72,26.12,22.437
435.82,26.12,22.437
439.91,26.19,22.437
444.01,26.25,22.437
448.11,26.25,22.437
452.2,26.31,22.437
456.3,26.38,22.437
460.39,26.44,22.437
464.49,26.44,22.437
468.59,26.5,22.437
472.68,26.56,22.437
476.78,26.56,22.437
480.87,26.62,22.437
484.97,26.62,22.437
489.07,26.75,22.437
493.16,26.75,22.437
497.26,26.81,22.437
501.35,26.81,22.437
505.45,26.88,22.437
509.55,26.94,22.437
513.64,26.94,22.437
517.74,27.0,22.437
521.83,27.06,22.437
525.93,27.06,22.437
530.03,27.12,22.437
534.12,27.19,22.437
538.22,27.19,22.437
542.31,27.25,22.437
546.41,27.25,22.437
550.51,27.31,22.437
554.6,27.31,22.437
558.7,27.38,22.437
562.79,27.44,22.437
566.89,27.44,22.437
570.99,27.5,22.437
575.08,27.56,22.437
579.18,27.56,22.437
583.27,27.62,22.437
587.37,27.62,22.437
591.47,27.75,22.437
595.56,27.75,22.437
599.66,27.75,22.437
603.75,27.81,22.437
607.85,27.88,22.437
611.95,27.88,22.437
616.04,28.0,22.437
620.14,28.0,22.437
624.23,28.0,22.437
628.33,28.06,22.437
632.43,28.06,22.375
636.52,28.12,22.437
640.62,28.12,22.437
644.71,28.19,22.437
648.81,28.25,22.437
652.91,28.25,22.437
657.0,28.31,22.437
661.1,28.31,22.437
665.19,28.38,22.437
669.29,28.38,22.437
673.39,28.44,22.437
677.48,28.5,22.437
681.58,28.5,22.437
685.67,28.56,22.437
689.77,28.56,22.437
693.87,28.62,22.375
697.96,28.69,22.437
702.06,28.69,22.375
706.15,28.75,22.437
710.25,28.81,22.437
714.35,28.81,22.437
718.44,28.81,22.437
722.54,28.88,22.437
726.63,28.88,22.375
730.73,28.94,22.437
734.83,28.94,22.437
738.92,29.0,22.375
743.02,29.0,22.437
747.11,29.06,22.375
751.21,29.06,22.437
755.31,29.12,22.375
759.4,29.12,22.437
763.5,29.19,22.437
767.59,29.19,22.375
771.69,29.25,22.437
775.79,29.31,22.437
779.88,29.31,22.437
783.98,29.31,22.437
788.07,29.38,22.437
792.17,29.38,22.437
796.27,29.44,22.375
800.36,29.5,22.437
804.46,29.5,22.375
808.55,29.56,22.375
